kuulaId,description,proposedGame,confidence
"7l94M","Tom Clancy's Ghost Recon Wildlands 360-Stereo 2017.09.24 - 22.35.05.92.jpg","Tom Clancy's Ghost Recon: Wildlands",46
"7l948","Tom Clancy's Ghost Recon Wildlands Shot with #NVIDIA #Ansel","Tom Clancy's Ghost Recon: Wildlands",59
"7lvrl","Pro Evolution Soccer 2018 360 (Anfield)","Pro Evolution Soccer 2018",68
"7lvrR","","",0
"7lvS2","Tom Clancy's Ghost Recon Wildlands 360 2017.09.24 - 01.40.15.72.jpg","Tom Clancy's Ghost Recon: Wildlands",52
"7lvSV","Tom Clancy's Ghost Recon Wildlands 360 2017.09.24 - 01.37.10.26.jpg","Tom Clancy's Ghost Recon: Wildlands",52
"7lvQy","Pro Evolution Soccer 2018 360 2017.09.23 - 12.34.12.11.jpg","Pro Evolution Soccer 2018",45
"7lfXp","On top of the world! #ConanExiles #Nvidia #Ansel","",0
"7lfG9","#ConanExiles #Nvidia #Ansel","",0
"7lfGv","Another Morning Brew 360 Screenshot #ConanExiles #Nvidia #Ansel","",0
"7lfL6","Morning Brew Crew ready for a dungeon! #ConanExiles #Nvidia #Ansel","",0
"7lfLK","Exploring Dungeons In Conan Exiles.#ConanExiles #Nvidia #Ansel","Conan Exiles",20
"7lf5Y","Sitting at my house in Conan Exiles. #ConanExiles #Nvidia #Ansel","Conan Exiles",20
"7lf5P","Exploring the Caves in Conan Exiles. #ConanExiles #Nvidia #Ansel","Conan Exiles",20
"7lvyc","Paragon Map 360Â°","Paragon",47
"7lvWD","War Thunder 360 2017.09.22 - 22.59.02.03.jpg","War Thunder",26
"7lvW1","War Thunder 360 2017.09.22 - 22.58.39.97.jpg","War Thunder",26
"7lvW4","=| Overwatch |= ~2017 Junkertown in central Australia (info from wiki: https://overwatch.gamepedia.com/Junkertown) Overwatch got an huge update changing couple characters and adding a new escort map! Created by using 24 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #overwatch #junkertown","Overwatch",3
"7lvwH","Hellblade Senua's Sacrifice 360 2017.09.22 - 05.13.42.42.jpg","Hellblade: Senua's Sacrifice",46
"7lvwD","Hellblade Senua's Sacrifice 360 2017.09.22 - 05.01.16.11.jpg","Hellblade: Senua's Sacrifice",46
"7lvgB","Mirror's Edge Catalyst 360 2017.09.20 - 17.46.39.39.jpg","Mirror's Edge Catalyst",40
"7lvTk","=| ArcheRage.to |= ~2017 Mirage Isle. Created during Mirage Fish-Fest. Do you want to know how does this big building in distance looks like? Check this link: https://kuula.co/post/7l5Jn Created by using 36 screenshots. Check my YouTube channel: https://www.youtube.com/user/JXRaiv #archeage #mmorpg #padmarashka #sematariux","Distance",3
"7l5Jn","=| ArcheAge |= ~2017 Mirage Isle. ""Mirage Island is the main trade hub in ArcheAge. It houses vendors for pretty much every major purchase you can make in the game."" Source: http://archeage.gamepedia.com/Mirage_Isle Created by using 109 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #archeage #mmorpg #padmarashka","ArcheAge",3
"7lvHJ","Hellblade Senua's Sacrifice 360","Hellblade: Senua's Sacrifice",87
"7lvD8","Pro Evolution Soccer 2018 360 2017.09.19 - 16.39.28.94.jpg","Pro Evolution Soccer 2018",45
"7lvHl","Hellblade Senua's Sacrifice 360 2017.09.19 - 13.22.56.78.jpg","Hellblade: Senua's Sacrifice",46
"7lvYZ","Hellblade Senua's Sacrifice #hellblade #badweather #rain #ninjatheory","Hellblade: Senua's Sacrifice",41
"7lvYK","Hellblade Senua's Sacrifice #hellblade #helheim #bridge #ninjatheory","Hellblade: Senua's Sacrifice",41
"7lvYM","Hellblade Senua's Sacrifice #hellblade #shipwreck #shore #ninjatheory","Hellblade: Senua's Sacrifice",41
"7lqWg","The Witcher 3","The Witcher",85
"7lYgr","Tom Clancy's Ghost Recon: Wildlands in santa blanca","Tom Clancy's Ghost Recon: Wildlands",67
"7lYCq","Dishonored 2 Addermire in sight","Dishonored 2",39
"7lv0s","Tekken 7 360 2017.09.16 - 08.57.28.22.jpg","Tekken 7",21
"7lvp4","=| ArcheAge |= ~2017 Housing area near Songspinner Field, Sanddeep, Nuia continent Photo for Illiyara on top of her house. Created by using 37 screenshots. Check my YouTube channel: https://www.youtube.com/user/JXRaiv #archeage #mmorpg #padmarashka #sematariux","ArcheAge",3
"7lvpH","The Witcher 3, Blood And Wine with bloom filter.","The Witcher",24
"7lv0K","The Witcher 3 360 2017.09.16 - 03.57.47.54.jpg","The Witcher",25
"7lv0x","Watch Dogs 2 360 2017.09.16 - 12.48.53.83.jpg","Watch Dogs 2",28
"7lv0R","Pro Evolution Soccer 2018 Steam Version on 360","Pro Evolution Soccer 2018",54
"7lv0W","Pro Evolution Soccer 2018 Steam Version on 360","Pro Evolution Soccer 2018",54
"7lqt2","Messi kicking the free-kick PES 2018 Ansel 360Â° NVidia GTX 1080","",0
"7lqtR","Messi Scored the Free-Kick PES 2018 Ansel 360Â° NVidia GTX 1080","",0
"7lqtW","Pique stopping Ronaldo Leg of Benzema got cut out somehow.","",0
"7lv7c","Testing out Ansel in Paragon, RIP","Paragon",22
"7lv7K","Testing out Ansel in Paragon, RIP","Paragon",22
"7lqzh","The Witcher 3 JENNEFER 360 2017.09.13 - 12.43.17.97.jpg","The Witcher",21
"7lqw4","The Witcher 3","The Witcher",85
"7lqw0","The Witcher 3 360 2017.09.08 - 01.02.21.16.jpg","The Witcher",25
"7lqwG","The Witcher 3 360 2017.09.08 - 01.38.36.10.jpg","The Witcher",25
"7lqwp","The Witcher 3 360 2017.09.08 - 00.17.12.04.jpg","The Witcher",25
"7lqwZ","Dishonored 2 Game","Dishonored 2",71
"7lqCt","Dishonored 2 Game","Dishonored 2",71
"7lqVR","The Witcher 3 360 2017.09.12 - 00.42.07.31.jpg","The Witcher",25
"7lq1p","=| Minecraft Beta 1.1_02 |= ~2017 Map in one of the oldests Beta versions of Minecraft, uploaded over 6 years ago by CTSG - one of the most famous Polish ""Minecraft Let's Players"". As somebody said once ""At this time almost no one was playing Minecraft but everyone was watching CTSG playing it"". Link to his video with this map: https://www.youtube.com/watch?v=i7jX2eZRnYM Stitched and uploaded for friends as reminder of old good times. Created by using 22 screenshots. Check my YouTube channel: https://www.youtube.com/user/JXRaiv #minecraft","Minecraft",2
"7fz8R","#playARK #ARKSurvivalEvolved","",0
"7lltt","The Witcher 3 360","The Witcher",65
"7lq5M","Kratos bonus level!","",0
"7lqhQ","The Witcher 3 Moony night...","The Witcher",44
"7lq73","#TheWitcher3","",0
"7lqN1","Hellblade Senua's Sacrifice","Hellblade: Senua's Sacrifice",100
"7lq49","Watch Dogs 2 360 2017.09.06 - 11.50.25.96.jpg","Watch Dogs 2",28
"7lq7p","The Witcher 3","The Witcher",85
"7lq7Y","#TheWitcher3 Road to swamps","",0
"7lkrX","Watch Dogs 2 360 2017.09.06 - 01.53.23.06.jpg","Watch Dogs 2",28
"7lkBW","=| AION Free-To-Play |= ~2017 Negi's Dock, Lake Tunapre, Ishalgen, Asmodae. Aion got update changing starting zones for both factions. Old version of Ishalgen: https://kuula.co/post/7lJfY Created by using 62 screenshots. Check my YouTube channel: https://www.youtube.com/user/JXRaiv #aion #mmorpg #ishalgen","Lake",1
"7lkWR","Dishonored 2 360 2017.09.04 - 12.54.31.61.jpg","Dishonored 2",28
"7lkWr","Dishonored 2 360 2017.09.02 - 13.49.16.92.jpg","Dishonored 2",28
"7lkVS","Double Chloe #Tekken7","",0
"7lk6b","Something #Tekken7","",0
"7lk8d","This is fun. #Tekken7","",0
"7lkDJ","=| ArcheAge |= ~2017 Nuia Alliance Base, Halcyona, Nuia continent Nuia faction preparing at their base for Halcyona battle. So many people running around without any point... Like they couldn't stay still for just a minute. Created by using 27 screenshots. Check my YouTube channel: https://www.youtube.com/user/JXRaiv #archeage #mmorpg #padmarashka #sematariux #halcyona","ArcheAge",2
"7lkDY","=| ArcheAge |= ~2017 Loka River in Rookborne Basin, Haranya continent Rum Runner Rapids event in Rookborne. Created by using 30 screenshots. Check my YouTube channel: https://www.youtube.com/user/JXRaiv #archeage #mmorpg #padmarashka #sematariux #rum #runner #rapid","ArcheAge",3
"7lkcd","=| Overwatch |= ~2017 ChÃ¢teau Guillard near Annecy in southeastern France (Overwatch) (info from wiki: http://overwatch.wikia.com/wiki/Ch%C3%A2teau_Guillard) Overwatch got an huge update adding Deathmatch and Team Deathmatch modes, small changes to existing maps and characters, some bugfixes and what's the most important for me - a new map! This is first photo of Virtual Tour, I'll add link when it will be done in 100%. Created by using 26 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #overwatch #fps #Chateau #Guillard","Overwatch",2
"7lkqW","Euro Truck Simulator 2. Created in Image Composite Editor Microsoft. #game #computergames","Euro Truck Simulator 2",26
"7lkG9","The Witcher 3 360 2017.08.26 - 10.25.21.93.jpg","The Witcher",25
"7lY0s","Agents of Mayhem 360 2017.08.15 - 22.24.56.42.jpg","Agents of Mayhem",34
"7lYRH","The Witcher 3 360 2017.08.21 - 14.52.03.34.jpg","The Witcher",25
"7lYsW","The Witcher 3 360 2017.08.13 - 00.23.21.43.jpg","The Witcher",25
"7lYsy","The Witcher 3 360 2017.08.19 - 22.23.02.26 Raw.jpg","The Witcher",23
"7lY3w","Breathtaking World of the #WitcherIII - #WildHunt on #PC being played at ultra settings, #4K Resolution 60FPS on a Zotac AMP Extreme #GTX1080Ti #witcher #gaming #videogames #4kgaming #nvidia #ansel #nvidiaansel #pcmasterrace #pcgaming #pcgamer #pcgaming","",0
"7lYT1","Dishonored 2","Dishonored 2",100
"7llSl","Tom Clancy's Ghost Recon Wildlands","Tom Clancy's Ghost Recon: Wildlands",100
"7lY6p","Dishonored 2 dunwall x2","Dishonored 2",52
"7lY0C","Agents of Mayhem","Agents of Mayhem",100
"7lLg1","Paladins, Serpent beach. Poor Fernando, I hope his face is fine :)","Paladins",13
"7lPwT","Hellblade Senua's Sacrifice","Hellblade: Senua's Sacrifice",100
"7lYpV","Hellblade Senua's Sacrifice","Hellblade: Senua's Sacrifice",100
"7lYpg","Hellblade Senua's Sacrifice","Hellblade: Senua's Sacrifice",100
"7lPtp","For Honor 360 #Nvidia #Ansel","For Honor",35
"7llyN","360Â° capture from Mass Effect: Andromeda, rendered with nVidia Ansel","Mass Effect: Andromeda",32
"7llw2","=| Aion: Assault on Balaurea |= ~2017 Sematariux's Hideout, Inggison, Balaurea Sematariux was one of two end-game world bosses introduced in Aion 2.0 and removed in Aion 2.7. I'd say that more than 90% of current players have never heard of him. Mostly because it was world boss only for Elyos side only (Asmo had Padmarashka), but also because he was removed almost 6 years ago. Another Point of View: https://kuula.co/post/7llww Created by using 62 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #aion #mmorpg #sematariux #bringoldaionback","Aion: Assault on Balaurea",5
"7llWS","360Â° capture from Mass Effect: Andromeda, rendered with nVidia Ansel","Mass Effect: Andromeda",32
"7llyl","360Â° capture from Mass Effect: Andromeda, rendered with nVidia Ansel","Mass Effect: Andromeda",32
"7lGGf","=| Overwatch |= ~2017 Horizon Lunar Colony, somewhere on the Moon Over a month ago I've created a full Virtual Tour of the newest Overwatch map called ""Horizon Lunar Colony"" and uploaded it on another website: https://roundme.com/tour/168006/view/425932/ After that I stitched and uploaded this photo as draft but totally forgot about it. So here it is, my photo from Horizon Lunar Colony special for Kuula.co Created by using 26 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #overwatch #fps #horizon #lunar #colony","Overwatch",2
"7llns","","",0
"7llZn","","",0
"7lllH","Feast - Witcher 3","",0
"7lGhc","=| Fallout 4 |= ~2017 Vault 111 enterance, The Commonwealth Not a big spoiler of Fallout 4 ""prologue"" where for the first time ever in Fallout universe we were able to see Pre-Nuclear War world. I took screenshots during Fallout 4 free weekend but stitched them yesterday. You can buy this game at Steam: http://store.steampowered.com/app/377160/Fallout_4/ Created by using 46 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #fallout4 #nuclearexplosion","Nuclear War",2
"7ll4K","=| Fallout 4 |= ~2017 Emmet's Causeway, The Island (Far Harbor DLC) I decided to create this photo during boss fight in ""Rite of Passage"" quest. Stitching this was very annoying because of all this fog around but I finally succeeded. You can barely see Nick Valentine hiding behind barrel just nearby mirelurk queen... It wasn't the best idea Nick but oh well. Created by using 46 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #fallout4 #farharbor","Fallout 4",2
"7lfyP","#Witcher3 #NVidia #Ansel","",0
"7lGx9","","",0
"7lGjY","When you provoke the wrong dino near your house, it shatters your glass wall. Ark Survival Evolved, Ansel.","Ark: Survival Evolved",20
"7l00b","Captured with nvidia ansel from mirror's edge catalyst http://techgage.com/article/the-screenshot-tool-you-didnt-know-you-wanted-a-look-at-nvidias-ansel/","Mirror's Edge Catalyst",14
"7lpg4","The event room at Del Renee Villas, in Second Life. Shot with my 360 VR Camera. Buy the camera here: https://marketplace.secondlife.com/p/Panoramic-Camera-System/9858007","Second Life",7
"7lmQJ","Hush-hush","",0
"7lm2q","#Ghost recon wildlands #ansel","",0
"7lm3v","","",0
"7lm3F","","",0
"7lhRc","#MassEffect Andromeda #Nvidia #Ansel","",0
"7lmML","Snake Pass by Sumo Digital","Snake Pass",38
"7lmJY","","",0
"7lLnH","ME:A Nomad on Voeld","Nomad",26
"7lL7C","#ConanExiles #Nvidia #Ansel","",0
"7lhRK","#MassEffect Andromeda #Nvidia #Ansel","",0
"7lhRD","#MassEffect Andromeda #Nvidia #Ansel","",0
"7lhsg","=| The Elder Scrolls Online: Tamriel Unlimited |= ~2017 Wayrest, Stormhaven, High Rock Wayrest is the capital of High Rock, the Bretons, and the Daggerfall Covenant. The Elder Scrolls Online: Tamriel Unlimited is available to buy on steam. Check it here: http://store.steampowered.com/app/306130/ Created by using 28 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #teso #tamriel #mmorpg","The Elder Scrolls Online",6
"7lhv3","Roofs of #City 17, #Half-Life 2, in-game photosphere","Half-Life 2",23
"7lhYg","=| AION (4.7.5) |= ~2017 Heart of Wrath in Tiamaranta, Balaurea. Loved by some, hated by others - siege system in 3.0 update was definitely unique experience. It's no longer possible to access this place in current version of game as this map was removed in 4.8 update. Created by using 50 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #aion #mmorpg #bringoldaionback #padmarashka","Aion",1
"7lhYc","=| AION (4.7.5) |= ~2017 Heart of Gravity in Tiamaranta, Balaurea. My first attempt on using my ""time machine"". Loved by some, hated by others - siege system in 3.0 update was definitely unique experience. It's no longer possible to access this place in current version of game as this map was removed in 4.8 update. Created by using 74 screenshots. Check my YouTube channel: www.youtube.com/user/JXRaiv #aion #mmorpg #bringoldaionback #padmarashka","Gravity",2
"7lhpD","","",0
"7lhGV","","",0
"7lhNP","#MassEffect #Andromeda #Nvidia #Ansel","",0
"7l5gd","Watch Dogs 2. Gary's Games and Glory. #WatchDogs2 #NVidia #Ansel #GarysGamesandGlory #Mashed","Watch Dogs 2",14
"7l58S","Mass Effect Andromeda Peebee's loyalty mission","Mass Effect: Andromeda",47
"7l5HQ","The Witcher 3. The Inn at White Orchard. #TheWitcher #NVidia #Ansel #WhiteOrchard #Mashed","The Witcher",13
"7l5ZK","","",0
"7l5q0","#MassEffect #Andromeda #Nvidia #Ansel #SaraRyder","",0
"7l5qv","","",0
"7l5qY","","",0
"7l50K","","",0
"7l502","Mass Effect Andromeda Nexus hydroponics","Mass Effect: Andromeda",54
"7l50H","","",0
"7l50M","The Witcher 3: Wild Hunt PC","The Witcher 3: Wild Hunt",88
"7l57w","This isn't creepy at all. #ansel #Ghost Recon Wildlands","",0
"7l5hy","Tempest engine room","Tempest",37
"7l5LK","Tom Clancy's Ghost Recon Wildlands PC","Tom Clancy's Ghost Recon: Wildlands",92
"7l5LX","Tom Clancy's Ghost Recon Wildlands PC","Tom Clancy's Ghost Recon: Wildlands",92
"7l5LC","Mass Effect first landing #ansel","Mass Effect",35
"7lN8t","Clear for take off Ghost Recon Wildlands #ansel","Off",7
"7lNvJ","Ghost Recon Wildlands using Nvidia #Ansel #videogames","",0
"7lNMf","","",0
"7lNMq","","",0
"7lN1w","Templo de la llama eterna #Witcher 3","",0
"7lNbb","a little party","",0
"7lNX8","Red or blue? you choose","",0
"7lN9M","Ghost Recon Wildlands","",0
"7lNFj","Ghost Recon Wildlands","",0
"7lN9l","Dishonored 2","Dishonored 2",100
"7lNkT","","",0
"7lNpw","Ghillie in the mist","",0
"7lNfL","","",0
"7lNP2","","",0
"7lN0Y","Bolivia is huge!!","",0
"7lNLD","Ghost Recon Wildlands 1","",0
"7l7Hx","Mass Effect: Andromeda. Source is a Russian forum. https://forum.bioware.ru/topic/28265/?do=findComment&comment=3084609","Mass Effect: Andromeda",19
"7l7Hg","Mass Effect: Andromeda. Source is a Russian forum. https://forum.bioware.ru/topic/28265/?do=findComment&comment=3084609","Mass Effect: Andromeda",19
"7l7TN","Visit masseffect2.in for more information regarding upcoming Mass Effect: Andromeda","Mass Effect: Andromeda",26
"7l7T5","","",0
"7l7Th","","",0
"7l7c5","For Honor - Vikings Map","For Honor",43
"7l7YH","Dishonored 2","Dishonored 2",100
"7l7Y1","Dishonored 2","Dishonored 2",100
"7l7YJ","Watch_Dogs 2","Watch Dogs 2",100
"7l7YF","Watch_Dogs 2","Watch Dogs 2",100
"7l7Y9","Watch_Dogs 2","Watch Dogs 2",100
"7l7fS","Watch_Dogs 2","Watch Dogs 2",100
"7l749","The Witcher 3","The Witcher",85
"7l4xP","The Witcher 3","The Witcher",85
"7l4qY","","",0
"7ftrH","Mirror's Edge - Catalyst 360 pano created using Ansel which of today (at least for me) offers RAW (well sort of) capture. This saves a 360 panorama in EXR format which can be tonemapped in NIK HDR Efex and so on. #Ansel #nvidia #ingame #mirrorsedge #screenshot","Mirror's Edge Catalyst",9
"7ftW8","","",0
"7ftRc","","",0
"7ftwQ","Watch_Dogs 2 - San Francisco Bay (with fog) #Ansel","Watch Dogs 2",27
"7ftwz","Watch_Dogs 2 - San Francisco Bay (without fog) #Ansel","Watch Dogs 2",25
"7ftw2","ark scorched earth #ansel","Ark: Scorched Earth",75
"7ftww","ArRK #ansel","",0
"7ftdW","Watch_Dogs 2 - DedSec Headquarters #Ansel","Watch Dogs 2",32
"7ftNw","The Witcher 3 - Alternate World 3 #Ansel","The Witcher",30
"7ftNV","The Witcher 3 - Skellige #Ansel","The Witcher",39
"7ftNx","The Witcher 3 - Toussaint #Ansel","The Witcher",38
"7ftNn","The Witcher 3 - Kaer Morhen #Ansel","The Witcher",35
"7ftNM","The Witcher 3 - Ard Skellig #Ansel","The Witcher",35
"7ft71","","",0
"7ft4V","The Witcher 3 -#ansel","The Witcher",58
"7fBXV","","",0
"7fr19","","",0
"7fBp2","La-7 War Thunder","War Thunder",69
"7fS1X","","",0
"7fQyg","","",0
"7fQZ0","A 360Âº snapshot from The Witness taken with NVIDIA Ansel","The Witness",20
"7fzqH","8K 360Â° screenshot from the game \""Mirror\'s Edge\"" taken using nVidia Ansel tool.","Mirror",8
"7fzYV","8K 360Â° screenshot from the game \""Mirror\'s Edge\"" taken using nVidia Ansel tool.","Mirror",8
"7fzYC","8K 360Â° screenshot from the game \""Mirror\'s Edge\"" taken using nVidia Ansel tool.","Mirror",8
"7fzYY","8K 360Â° screenshot from the game \""Mirror\'s Edge\"" taken using nVidia Ansel tool.","Mirror",8
"7fzl9","The Witcher 3 #Ansel #Nvidia","The Witcher",42
"7fzYP","8K 360Â° screenshot from the game \""Mirror\'s Edge\"" taken using nVidia Ansel tool.","Mirror",8
"7fzlq","Mirror0C\'s Edge Catalyst #Ansel #Nvidia","Edge",11
"7fytH","Testing 8K 360Â° game captures with nVidia Ansel. Main Square, Novigrad, The Witcher 3","The Witcher",14
